ראשי תיבות,פירוש
אתצ"ט,אל תצר צרת מחר
אתקהק"ב,אל תהי קללת הדיוט קלה בעיניך
אתק"ם,אתקינו סעודתא
את"ר,אל תקרא רע
אתר"ג,אל תבואני רגל גאוה
אתר"ת,אין תרומתו מרומה
את"ש,אחר תפלת שחרית;אל תהי שוטה
את"ת,אין תרומתו תניא;תניא אית תנא;תניא אי תרומה
אתת"א,אל תטוש תורת אמך
ב',בן;בית;בינה;בחינה;בחור;בת;בשם;ברכה;בקר;בעל
ב"א,ב' אמצעיות;ב' אלפים;ב' אבל;בגדי אברהם;באר אתרוגים;אדם;בינה אחת;בדרך אגב;בדל אהרן;בית אברהם;בית אב;בית אלהים;בית אל;בית אחד;בית אשה;במה אפרים;בית אדם;בן אברהם;בן אחד;בן אפרים;בן אחות;בן אח;בני אדם;בני אחריו;בנו אשר;אב;בנין אהרן;בני אהובה;אבא;בר אקופות;בעלי אוב;בעל אוריין;בר אהבה;בר אבינא;בר אוריא;ברוך אלהינו;בר אברהם;ברכה אחרונה;ברכה אמו;בת אירושין;ברכת אצולה;בת אחות;בת אחיו;בת אביו
בא',באורך;באמת;באחד
בא"א,באשת אחר;באופן אופן;באיזה אופן;אדני בן אחר;אב בית איש;ברוך אתה אדני
באאמ"ו,בני אדוני אבי מורי ורבי
בא"ב,באלפא ביתא;באלפא באדר;באחד ברוך בוראינו;אלהינו ברוך בשדה;אתה ברוך בבואך;אתה ברוך בבית;אתה ברוך בבנים
באב"ד,בני אבות בתי דינין
בא"ד,באותו דבור;באמצע דרך
באד"ה,באותו דבור המתחיל;ברוך אדון השלום
באדל"ח,אדם בין לחברו
באדל"ט,אדם בין למקום
באדלמ"ק,אדם בין למקום
באד"ק,באידרא קדישא
בא"ה,באבן העזר;באר היטב;באבן אהרן;בית הימים;באחרית הגולה;אנשי במעמד העיר
באה"ג,באור הגהה;באותה הגר"א;באור הגולה;באר הגולה
באה"ד,באותו הדבור;באמצע הדברים;באלה הדברים
באהו"ה,ברא אלהים את השמים ואת הארץ
באה"ח,בארצות החיים
באה"ט,באר היטב
באה"י,באותו היום;באלה הימים;באר היחיד
באהלב"ט,בין ארור המן לברוך מרדכי
באה"מ,באוהל המועד;באור המת;באה"ט המלוח
באה״ט,לברוך המן ארור בין מרדכי
באהמ״ק,ביאה המקדש
באה״ע,באהבה עזה
באה״ק,בארץ הקדושה
באה״ר,באחדות הרבים
באה״ש,באומה השעה
באו׳,באור; באופן; באמר
באו״א,באבא ואימא; איש ואשה בין
באו״ב,באותו בכו ואם
באוכ״ר,באופן וברצון
באו״ג,באותיות גדולות; אירוקין ברכס וכשואין
באו״ד,באותו דבור
באוה״ד,באותו הדבור
באוה״ז,באורי הזהר
באוה״י,באוהל יוסף; באותו היום
באוה״ט,באוהל מועד; באותו המקום
באוה״ג,באותו הנק
באוה״ע,באומות העולם
באוה״ש,באומה השעה; באוצר השמות; באוצר השרשים
באוה״ת,באור התורה
באו״ז,באופן זה; אליהו בעל זרוע; באור זרוע
באול״ח,אור בין לחשן
באו״ט,באותו מקום
באוטט״ז,ומעת אל ביס זהב
באו״ע,באותו ענין
באו״פ,באור פני
באופ״ז,באופן זה
באו״ש,באותה שעה; באומה שעה
באו״ת,באלה ובשבועה; באור ותורה
בא״ז,זוטא; אליהו בעל זרוע; באור זרוע
בא״ח,באף מדרשים; באורים וחומים; באר מי
באח״ב,בכורות; משך ארבה ברד
בא״י,בארץ ישראל; באר יעקב; באר יצחק; אתה ברוך יי
באי״א,יי אתה ברוך אלהינו
באיאמ״ה,יי אתה ברוך אלהינו מלך העולם
באי״ך,יי את ברכו המבורך
באי״ח,יושבי אדם בני משן
באי״י,יום אדני ברוך יום
באי״ע,באר יעקב
באיש״ת,יי אתה ברוך שומע תפלה
בא״כ,כן; אם בדרך כמו; באי
בא״ל,אם לאו; אם לאגייכות; באותיות; אדם בין לחברו; אדם בין למקום; אתם ברוכים ליי
באלא״ש,איש בין לאשתו
באל״ב,לא באלף בטל
באל״ח,אור בין לחברו; בין־אדם לחשך
באל״י,אם יגיד לא; אם ירדו לא; אם יצא לא; אם יבא לא; אם יראה לא
באל״ט,אדם בין למקום
באלמ״ק,אדם בין למקום
באלעש״ו,אתם ברוכים ליי עושת שמים וארץ
בא״מ,באלוני ממרא; באינו; בארץ מצרים; באר משה; באר מים
באמ״ו,מורי אדוני בן
באמו״ר,מורי אדוני בן ורבי
באמ״ח,מים באר חיים
באטע״א,על מחזיר אבידה בעל אגדמו
באט״ש,באמונה שלמה
בא״נ,אות בכל נפשך
באס״ע,באותו קעיף
בא״ע,באר עכין; באותו עזרא; באבן עליון; אל ברון עשק
באעה״ח,על באמת החתום
באעע״ג,על עומד באחד גביו
בא״פ,אכילת בכדי פרק; באותו פרש
באפ״י,פרק אדום יון בבל
ב"ה.
ספר
הועתק והוכנס לאינטרנט
www.hebrewbooks.org
ע"י חיים תשס"ט
ראשי תיבות
כולל לערך ששה עשר אלף ראשי תיבות הנמצאים בש"ס
בבלי וירושלמי במדרשים וספרי ראשונים ואחרונים בספרי
אגדה ובשאר ספרים וגם ישנים והנהוגים במכתבים
ואגרות שלום כולם מבוארים ומסודרים ע"ס אלפא ביתא בכדי
להקל על המעיין למצא פתרון הר"ת אשר יבוקש לו בלי
טורח החיפוש ובלי עמל ויגיעה כלל וכלל
נערך ומסודר מאתי
הק' אברהם יצחק
בלאאמו"ר מו"ה ר' יונה שטערן ז"ל
ראב"ד דק"ק אראשטיע והגליל יע"א
HANDBUCH
DER HEBRÄISCHEN ABBREVIATUREN
VON
ADOLF STERN, PRIM RABIN
Orăstie (Szászváros)
România Transylvania
1926.
דפוס אברהם קויפמאן ובניו
TIPOGRAFIA A. KAUFMAN
SIGHETUL-MARMAŢIEI
אזהרה!
לכל
תאכל בבל"
    Correction: "בבל תאכל חמץ"

    *Refining the "בגאול״ת" entry:*
    OCR: "בגאול״ת לתפלה. גאולה בין"
    Correction: "גאולה בין לתפלה"

    *Refining the "בגבנ״ט" entry:*
    OCR: "בגבנ״ט עעס. בנותן בגידין"
    Correction: "בנותן בגידין אין טעם"

    *Refining the "בגאול״ת" and "בגאל״ת":*
    They are the same.

    *Refining the "בג״ח":*
    Image: "בג״ח חקדיס. גמילות בעל חרם, בגזרה"
    Correction: "בגזרה חמורה; גמילות חסד בעל"

    *Refining the "בג״נ":*
    Image: "בג״נ כשמות. בגלגול"
    Correction: "בגלגול כשמות"

    *Refining the "בג״ס":*
    Image: "בג״ס קפרים. בג׳"
    Correction: "בג׳ ספרים"

    *Refining the "בג״ט":*
    Image: "בג״ט מקומות, בג׳ מלכות,
בד"א,בדבר אמת; בד' אותיות; בד' אפרתא; בדוכתא אחר; בדבור אחד; בדפוס אומות; בדיני אדם; בדיני אחר; בדרך אחר; בדפוס אחר; בדברים במה ארץ; בדרך ארץ; דרך בעל אותיות; ד' בן אמת; דיין ברוך
בדא"א,דאברהם ברייתא אבינו
בדא"ד,בדיני אדם
בדא"ה,בדיני אומות העולם
בדא"ח,בדרך אחד; בדבור אחד; בדרך אחר
בדאכ"א,בכולה אצל דעתו כל אדם
בדא"ם,דיין ברוך אומרים; דברים במה אמת
בדא"נ,בדבור אחד נאמרו
בדב"ד,בכול דינא בר דינא
בד"ג,בדרך גוים; בדיני גוזמא
בד"ד,בדרך דעהו; דרכיך בכל דרש
בד"ה,בדברי הימים; בדברי המתחיל; בדבור המתחיל; בדרך המלך; בדרך הישר; בדרך הרבים; בדק הפלגה; בדרך המשל; דין בית הגדול
בדה"א,בדברי הימים א'
בדה"ב,בדמים ב'; הימים בדברי; בדק הבית
בדע״ש,בדעת שלימה
בד״פ,בדפוס פראג; בדפוס פלשיות; בדפוס ספר
בדפ״ח,בדפוס חדש
בדפ״ע,בדפוס ערוד
בד״צ,בית דין צדק
בד״ק,בדפוס קדשו; בדברי קאכשטאנטינא; בדברי קדמון; בדברי קלאקויא; בדברי קרימונא
בדק״ח,בדיקת חמץ
בדקע״א,בדקביל עליו אחריות
בדק״ם,בדיקת סכין
בד״ר,בדפוס ראשון; בדפוס רומי; בדרך רבא; דינא רחוקה
בדרז״ל,בדברי רבותינו זכרונם לברכה
בדר״ח,בדף דראש ב׳
בדר״ש,בדרישת שלום
בד״ש,בדיני שליש; בדרישת שלמה; בדמעות שמים
בדש״י,בבית דין של ישראל
בדש״ט,בבית דין של מעלה
בדש״נ,בבית דין של נכרים
בד״ת,בדין תורה; בדברי תורה
ב״ה,באור המלה; באור התורה; באור היטב; באר היטב; בא
בהו"ח,בהמה וחיה
בהונ"ר,בהונאה רע
בה"ז,בהאי הזהב;בגדי הזהב;באורי הזן
בה"ח,ברכת הזבח;ברכה זימנא;בית החורף;בית החולים;בית החלון;בית החרושת;בית החיים;ברכת החדש;ברכת החדשה;בית החמה
בהחרע,בהמה וחיה ועוף
בה"ט,בהר טומאה;בהלכות היטב;באר היטב;בית הטורים
בהטוה"מ,ברכת הטוב והמטיב
בהט"ט,בהמה טמאה
בה"י,בעזרת הלל;בית היין;בית השם יתברך
בהי"ט,בהלכות טובים;בהימים טוב
בהיסהי"ד,בהיקף הדעת
בה"כ,בית הכפורים;בית הכסא;בית הכנסת;בית הכבוד;בית הכושר
בהכ"נ,ברכת הכהנים;ברכת הכבוד;בית הכנסת
בהכנ"ם,בית הכנסת
בהכ"ם,בית הכסא
בהכ"פ,בית הכפורת
בה"ל,בהרת לבנה;בהאי לבנה;בלע הלכה;ביאור הלשון;בזה הלש
ומר חרם ובשבועה דאורייתא".

    *   *Final check on "בח״ח":* "בחומר חדרים; בחדרי חרם; בחומר חדוה; חדוה בשעת חרם".

    *   *Final check on "בחז״ס":* "בחזקת סכנה".

    *   *Final check on "בחז״ב":* "בחזקת כשרות".

    *   *Final check on "בחזו״כ":* "זכרנו לחיים בספר וכתבנו".

    *   *Final check on "בח״ז":* "בחתימת זה; בחודש זקן".

    *   *Final check on "בחו״ע":* "חיה בהמה ועוף".

    *   *Final check on "בחו״ס":* "בחורין וקדקין".

    *   *Final check on "בחו״ם":* "חיי בני ומזוני".

    *   *Final check on "בחו״ל":* "בחוץ לארץ".

    *   *Final check on "בחוי״ת":* "בחסרונות ויתרות".

    *   *Final check on "בחוה״ג":* "בחוקות הגוים".

    *   *Final check on "בחו״ג":* "בחוב גמור".

    *   *Final
בט״ט,בטוב טעם; בטעם מפסיק; בטעם מקרא; טוב בוצינא
בט״ל,בין לביש; טוב בין לביש
בט״ע,בטעם עליון; בטביעת עין
בט״ק,בטל קרבנו
בט״ר,ברכת צדקת השם; בטוב טהרה
בט״ת,בטול תשבון; בטוב תורה
ב״י,בהן יפה; ב׳ ימים; ב׳ יסודות; בונה ירושלים; ב׳ יצירות; בי יד; באור ימים
ביה,ביה יהודה; ביה יצחק; ביה יעקב; ביה יוסף
בי״א,יבא במהרה אדם; בידי אלהינו; בי אכבדך
ביא״ו,בני ישראל את השבת
ביאה״ט,ביאת המקדש
ביאדמ״ק,ביאת המקדש
ביאוה״ד,ביאור הדבר
ביאוה״ט,ביאור המלים
ביאוה״ע,ביאור הענין
ביא״י,בשם אלהי יי ישראל
ביאעמב״ד,יבא במהרה עם אליהו משיח בן דוד
בי״ב,יבנה בית בח
ביח״ז,בית חזקה
ביח״ל,י״ח בן לחופה
ביחע״ם,בכבודם ירננו על משכבותם
בי״ט,ביום טוב; בזרוע יקבץ טלאים
ביט״ר,ביום טוב ראשון
ביט״ש,ביום טוב שני
בי״ש,ביין שרף; ביום ששי; ביום שמים; בידי שמים; ביתר שאת; ביראת שרף
בי״ל,ברוך יי לעולם
בילא״ו,ברוך יי לעולם אמן
בילנ״ע,בינו לבין עצמו
בילי״ו,ברוך יי לעולם ועד; ברוך יי אלהינו לכו
ביל״י,בין ליד
בי״ם,ביש מצרים; ביציאה מצרים; ביזה מפרשים; יש בשם ימצא; בל מקומות
בימב״א,מבית יבמות ב׳ א׳
בימ״פ,בליל מצרים ביציאת פסח
בימה״ג,בימות הגשמים
בימה״ח,בימות החול; בימות החמה
בימהת״ש,בימי התשובה
בי״נ,בידי נכרי
בינ״ד,ברוך יין בשמים הבדלה
ביס״ו,בשם יי נעשה ונגמור
בל"מ,בלא מלח; בלא מים; בלא מעות; בלשון מיימוני; בלשון מעות; בלשון משנה; במקום מלח
בל"ג,בלא כסף; בלא לכתחלה; בכול גוונא; בלא כלי; בלא קבועה; בלשון נקבה; בלשון נדר; בלי נקיה
בלנ"ד,בלי נדר כלל
בלנ"ק,בלשון נקבה; בלשון נקיה
בלנ"ש,בלא נשימה
בל"ם,בלי פסק; בלי קבלה; בלי קולי; בלשון קירכא; בלי פקח; בליל לפדיון; בכור פרשי; בלשון פגע
